text,category
sharp abdominal pain regurgitation upper abdominal pain regurgitation.1,Digestive
leg pain hip pain arm swelling knee pain knee swelling,Musculoskeletal
headache diarrhea burning abdominal pain constipation,Digestive
blood in stool vomiting burning abdominal pain rectal bleeding,Digestive
depression depressive or psychotic symptoms hostile behavior feeling ill temper problems,Mental
lip swelling toothache facial pain mouth ulcer fever tongue lesions gum pain,General
depression shortness of breath depressive or psychotic symptoms dizziness abnormal involuntary movements irregular heartbeat breathing fast,Mental
skin swelling lip swelling abnormal appearing skin skin lesion skin growth skin moles,Skin
wrist pain wrist swelling elbow pain elbow swelling,Musculoskeletal
shortness of breath sharp chest pain irregular heartbeat peripheral edema heartburn decreased heart rate,General
leg pain wrist swelling ankle pain ankle swelling,Musculoskeletal
sharp chest pain retention of urine sharp abdominal pain nausea peripheral edema kidney mass,General
anxiety and nervousness depression depressive or psychotic symptoms insomnia abusing alcohol hostile behavior drug abuse disturbance of memory delusions or hallucinations temper problems,Mental
shortness of breath chest tightness sore throat difficulty in swallowing heartburn,Digestive
depression sharp abdominal pain rectal bleeding itching of skin,Digestive
hip pain arm pain back pain neck pain shoulder pain arm weakness,Musculoskeletal
shortness of breath nasal congestion diarrhea impotence,Digestive
sore throat headache ear pain sinus congestion painful sinuses,Respiratory
hand or finger pain wrist swelling ankle pain foot or toe swelling,Musculoskeletal
skin swelling acne or pimples irregular appearing scalp too little hair skin rash,Skin
difficulty in swallowing regurgitation burning abdominal pain heartburn regurgitation.1,Digestive
back pain neck pain low back pain groin pain,Musculoskeletal
leg pain hip pain arm pain back pain neck pain knee pain loss of sensation shoulder pain,Musculoskeletal
ear pain plugged feeling in ear fluid in ear fever coryza redness in ear,General
depression depressive or psychotic symptoms insomnia hostile behavior drug abuse excessive anger disturbance of memory delusions or hallucinations,Mental
hand or finger stiffness or tightness neck pain elbow pain problems with movement shoulder pain shoulder stiffness or tightness shoulder weakness,Musculoskeletal
shortness of breath sharp chest pain dizziness abnormal involuntary movements headache fatigue,Mental
cough nasal congestion headache ear pain decreased appetite ache all over chills skin rash,Respiratory
shortness of breath vomiting blood peripheral edema upper abdominal pain abdominal distention,Digestive
nausea stomach bloating constipation,Digestive
anxiety and nervousness depressive or psychotic symptoms insomnia abusing alcohol acne or pimples weight gain decreased appetite,Mental
anxiety and nervousness insomnia delusions or hallucinations fears and phobias nightmares,Mental
difficulty in swallowing neck mass jaw swelling,Musculoskeletal
sharp chest pain sore throat cough headache wheezing difficulty breathing coughing up sputum coryza,Respiratory
itching of skin,Skin
anxiety and nervousness depression excessive appetite delusions or hallucinations,Mental
leg pain hip pain muscle pain low back cramps or spasms,Musculoskeletal
cough lip swelling facial pain mouth ulcer fever gum pain,General
depressive or psychotic symptoms excessive anger delusions or hallucinations temper problems low self-esteem,Mental
diminished hearing ear pain ringing in ear plugged feeling in ear fluid in ear,General
anxiety and nervousness depressive or psychotic symptoms excessive anger delusions or hallucinations,Mental
cough facial pain frontal headache coughing up sputum coryza sinus congestion,Respiratory
sore throat cough facial pain ear pain fever congestion in chest painful sinuses,Respiratory
blood in stool sharp abdominal pain nausea diarrhea lower abdominal pain side pain,Digestive
suprapubic pain sharp abdominal pain vaginal itching frequent urination vaginal discharge skin rash diaper rash,General
shortness of breath blood in stool sharp abdominal pain diarrhea heartburn side pain,Digestive
hand or finger pain hand or finger swelling arm pain arm swelling loss of sensation elbow swelling,Musculoskeletal
depression delusions or hallucinations fears and phobias,Mental
retention of urine blood in stool sharp abdominal pain lower abdominal pain changes in stool appearance rectal bleeding constipation,Digestive
sharp abdominal pain nausea diarrhea burning abdominal pain fluid retention flu-like syndrome,Digestive
sharp abdominal pain heartburn lower body pain melena rectal bleeding mass or swelling around the anus,Digestive
chest tightness cough difficulty in swallowing sharp abdominal pain nausea regurgitation burning abdominal pain regurgitation.1,Digestive
skin swelling abnormal appearing skin acne or pimples swollen eye itching of skin skin irritation,Skin
neck swelling foot or toe pain skin on arm or hand looks infected,Skin
leg pain knee pain knee swelling foot or toe swelling,Musculoskeletal
anxiety and nervousness depression dizziness fainting ache all over,Mental
shortness of breath sharp chest pain cough facial pain pain in eye,Respiratory
sore throat headache facial pain ear pain congestion in chest sinus congestion painful sinuses,Respiratory
groin mass sharp abdominal pain decreased appetite upper abdominal pain,Digestive
"skin swelling abnormal appearing skin skin lesion acne or pimples skin moles allergic reaction swollen eye skin dryness, peeling, scaliness, or roughness skin irritation",Skin
sharp abdominal pain vomiting nausea pain of the anus burning abdominal pain changes in stool appearance rectal bleeding,Digestive
cough skin swelling abnormal appearing skin acne or pimples itching of skin warts,Skin
acne or pimples symptoms of eye foreign body sensation in eye spots or clouds in vision eye redness,General
leg pain hand or finger pain ankle pain elbow pain knee swelling muscle pain,Musculoskeletal
shortness of breath sore throat throat swelling infant spitting up,Respiratory
sharp abdominal pain lower abdominal pain vaginal discharge vaginal pain cramps and spasms blood clots during menstrual periods heavy menstrual flow,General
sore throat headache ear pain frontal headache fever congestion in chest painful sinuses,Respiratory
vomiting headache nausea painful urination neck pain,General
shortness of breath sharp chest pain chest tightness nasal congestion fever coryza,Respiratory
shortness of breath sharp chest pain heartburn difficulty breathing fatigue recent pregnancy,General
heartburn changes in stool appearance rectal bleeding constipation mass or swelling around the anus itching of the anus,Digestive
blood in stool pain of the anus heartburn cramps and spasms itching of the anus,Digestive
shortness of breath sharp chest pain cough drug abuse shoulder pain hurts to breath,Respiratory
anxiety and nervousness depression intermenstrual bleeding pain during pregnancy problems during pregnancy,Mental
insomnia flatulence sharp abdominal pain diarrhea lower abdominal pain,Digestive
vomiting headache decreased appetite fever chills fluid retention flu-like syndrome,Digestive
shortness of breath insomnia abnormal involuntary movements palpitations irregular heartbeat breathing fast,Mental
sharp chest pain difficulty in swallowing nausea back pain vomiting blood heartburn upper abdominal pain,Digestive
shortness of breath jaundice sharp abdominal pain nausea diarrhea heartburn weakness upper abdominal pain,Digestive
drug abuse headache smoking problems obsessions and compulsions,Mental
"acne or pimples irregular appearing scalp pelvic pain skin dryness, peeling, scaliness, or roughness skin irritation itchy scalp",Skin
cough skin swelling mouth ulcer skin rash sore in nose,Skin
lower abdominal pain lip swelling skin lesion knee pain,Musculoskeletal
retention of urine vaginal itching frequent urination symptoms of bladder,General
cough nasal congestion headache fever chills coryza flu-like syndrome,Respiratory
"abnormal appearing skin skin lesion acne or pimples symptoms of the face itching of skin skin dryness, peeling, scaliness, or roughness skin rash",Skin
leg pain back pain low back pain loss of sensation,Musculoskeletal
lump in throat difficulty in swallowing sharp abdominal pain vomiting vomiting blood recent weight loss,Digestive
skin swelling lip swelling abnormal appearing skin skin lesion acne or pimples skin growth skin moles,Skin
blood in stool sharp abdominal pain vomiting diarrhea burning abdominal pain,Digestive
anxiety and nervousness insomnia hostile behavior headache smoking problems excessive anger,Mental
fainting regurgitation burning abdominal pain regurgitation.1,Digestive
shortness of breath depressive or psychotic symptoms hostile behavior drug abuse,Mental
skin lesion skin growth irregular appearing scalp skin moles itching of skin warts skin rash,Skin
depression difficulty speaking irregular appearing scalp delusions or hallucinations,Mental
leg pain hip pain knee weakness knee swelling joint pain,Musculoskeletal
depressive or psychotic symptoms abnormal involuntary movements hostile behavior disturbance of memory delusions or hallucinations,Mental
shortness of breath depressive or psychotic symptoms sharp chest pain feeling ill vomiting nausea decreased heart rate,General
fainting hostile behavior restlessness excessive anger obsessions and compulsions low urine output,Mental
shortness of breath hip pain back pain side pain shoulder pain ache all over rib pain back mass or lump hurts to breath,Musculoskeletal
skin swelling lip swelling abnormal appearing skin skin growth skin moles,Skin
anxiety and nervousness insomnia flatulence sharp abdominal pain nausea diarrhea lower abdominal pain upper abdominal pain,Digestive
double vision spots or clouds in vision muscle swelling,General
shortness of breath blood in stool jaundice nausea diarrhea peripheral edema heartburn side pain unusual color or odor to urine,Digestive
"lip swelling irregular appearing scalp skin moles skin dryness, peeling, scaliness, or roughness",Skin
groin mass abnormal appearing skin skin lesion skin growth neck mass back mass or lump shoulder lump or mass arm lump or mass,Skin
shortness of breath sharp chest pain dizziness abnormal involuntary movements fatigue,Mental
depressive or psychotic symptoms dizziness abnormal involuntary movements abusing alcohol seizures,Mental
shortness of breath sharp chest pain abusing alcohol drug abuse smoking problems excessive anger hemoptysis,Mental
loss of sensation arm weakness,General
abusing alcohol sharp abdominal pain vomiting burning abdominal pain side pain,Digestive
blood in stool sharp abdominal pain lower abdominal pain rectal bleeding,Digestive
depressive or psychotic symptoms fainting antisocial behavior,Mental
blood in stool flatulence upper abdominal pain,Digestive
blood in stool vomiting lower abdominal pain side pain fever upper abdominal pain constipation,Digestive
lip swelling double vision swollen eye redness in or around nose,Musculoskeletal
sharp chest pain cough nasal congestion vomiting weakness difficulty breathing chills coryza,Respiratory
shortness of breath sore throat cough nasal congestion,Respiratory
nasal congestion pus draining from ear pulling at ears redness in ear bleeding from ear,General
depressive or psychotic symptoms insomnia hostile behavior disturbance of memory,Mental
restlessness ear pain gum pain skin irritation,General
shortness of breath sore throat cough nasal congestion coryza congestion in chest,Respiratory
arm pain muscle pain shoulder stiffness or tightness ache all over,Musculoskeletal
hoarse voice sore throat nasal congestion fever abnormal breathing sounds,Respiratory
sharp abdominal pain diarrhea upper abdominal pain rectal bleeding,Digestive
skin growth diminished vision symptoms of eye pain in eye lacrimation eyelid swelling,General
shortness of breath abnormal involuntary movements weight gain difficulty breathing fatigue,Respiratory
depressive or psychotic symptoms difficulty speaking hostile behavior fears and phobias obsessions and compulsions antisocial behavior,Mental
cough headache ear pain fever congestion in chest sinus congestion,Respiratory
low back pain knee pain elbow pain ache all over stiffness all over,Musculoskeletal
hand or finger pain wrist pain hand or finger swelling arm pain wrist swelling arm stiffness or tightness hand or finger stiffness or tightness wrist stiffness or tightness,Musculoskeletal
sharp abdominal pain vomiting pain of the anus changes in stool appearance rectal bleeding,Digestive
difficulty in swallowing nausea burning abdominal pain,Digestive
difficulty speaking headache nausea back pain disturbance of memory sleepiness,General
shortness of breath sharp chest pain hip pain bones are painful ache all over rib pain hurts to breath,Musculoskeletal
depressive or psychotic symptoms sharp chest pain abusing alcohol drug abuse delusions or hallucinations fears and phobias,Mental
nasal congestion vomiting wheezing decreased appetite fever coryza hurts to breath,Respiratory
shortness of breath retention of urine sharp abdominal pain vomiting nausea peripheral edema kidney mass symptoms of the kidneys,General
diminished hearing facial pain pain in eye ear pain,Musculoskeletal
cough ear pain fever sinus congestion painful sinuses,Respiratory
arm pain back pain low back pain elbow pain loss of sensation hand or finger weakness,Musculoskeletal
sharp chest pain sore throat cough vomiting wheezing weakness coryza,Respiratory
"irregular appearing scalp skin moles symptoms of the face itching of skin skin dryness, peeling, scaliness, or roughness skin irritation skin rash",Skin
suprapubic pain sharp abdominal pain painful urination frequent urination blood in urine,General
anxiety and nervousness depression slurring words disturbance of memory temper problems loss of sex drive,Mental
anxiety and nervousness shortness of breath depressive or psychotic symptoms chest tightness palpitations irregular heartbeat,Mental
depressive or psychotic symptoms sharp abdominal pain nausea diarrhea fluid retention,General
anxiety and nervousness insomnia excessive anger temper problems low self-esteem,Mental
dizziness leg pain arm pain problems with movement loss of sensation disturbance of memory paresthesia arm weakness,General
dizziness blood in stool fainting vomiting diarrhea weakness changes in stool appearance melena,Digestive
insomnia cough sleepiness,General
depression insomnia abnormal involuntary movements leg pain headache fatigue,Musculoskeletal
anxiety and nervousness abnormal involuntary movements sleepiness abnormal breathing sounds,Mental
cough nausea fever,Respiratory
shortness of breath insomnia mouth dryness fatigue sleepiness sweating,Respiratory
shortness of breath sharp chest pain nasal congestion headache difficulty breathing congestion in chest,Respiratory
depression lack of growth hostile behavior drug abuse antisocial behavior,Mental
anxiety and nervousness shortness of breath depressive or psychotic symptoms dizziness insomnia headache burning abdominal pain fatigue,Mental
hip pain back pain groin pain,Musculoskeletal
depressive or psychotic symptoms restlessness delusions or hallucinations,Mental
insomnia excessive anger temper problems,Mental
chest tightness nasal congestion wheezing fever difficulty breathing coughing up sputum coryza allergic reaction,Respiratory
sharp chest pain chest tightness leg swelling,Respiratory
cough abnormal appearing skin skin lesion irregular appearing scalp allergic reaction itching of skin skin irritation skin rash,Skin
throat swelling arm pain neck pain shoulder pain,Musculoskeletal
depression difficulty speaking hostile behavior drug abuse temper problems fears and phobias low self-esteem,Mental
anxiety and nervousness depression insomnia abusing alcohol hostile behavior excessive anger temper problems fears and phobias,Mental
shortness of breath hip pain back pain bones are painful shoulder pain ache all over rib pain,Musculoskeletal
depressive or psychotic symptoms dizziness abnormal involuntary movements weakness decreased appetite seizures sweating,General
vaginal itching lower abdominal pain vaginal discharge pelvic pain vaginal pain,General
anxiety and nervousness depression shortness of breath depressive or psychotic symptoms sharp chest pain insomnia headache burning abdominal pain fatigue,Mental
leg pain hand or finger pain ankle pain elbow pain loss of sensation shoulder pain,General
abnormal involuntary movements leg pain hand or finger pain back pain paresthesia ache all over,Musculoskeletal
abusing alcohol sharp abdominal pain diarrhea weight gain stomach bloating,Digestive
"neck pain bones are painful elbow pain muscle cramps, contractures, or spasms",Musculoskeletal
"neck swelling foot or toe pain foot or toe swelling skin on leg or foot looks infected swollen eye skin dryness, peeling, scaliness, or roughness",Skin
sore throat nasal congestion headache difficulty breathing abnormal breathing sounds painful sinuses,Respiratory
shortness of breath vomiting wheezing fever,Respiratory
diminished vision symptoms of eye pain in eye itchiness of eye itchy eyelid,General
blood in stool vaginal dryness pain of the anus lower body pain constipation,Digestive
hand or finger stiffness or tightness shoulder pain,Musculoskeletal
sharp chest pain cough hemoptysis sweating,Respiratory
blood in stool nausea diarrhea heartburn upper abdominal pain,Digestive
nasal congestion headache ear pain coryza allergic reaction,Respiratory
leg pain hand or finger pain hand or finger swelling abnormal appearing skin skin lesion peripheral edema leg swelling foot or toe swelling skin rash,Skin
lump in throat throat feels tight abnormal breathing sounds redness in ear swollen or red tonsils throat redness,Respiratory
swelling of scrotum mass in scrotum sharp abdominal pain lower abdominal pain swollen abdomen,Digestive
fainting sharp abdominal pain regurgitation regurgitation.1,Digestive
diminished vision double vision abnormal movement of eyelid lacrimation itchiness of eye,General
headache nausea chills coryza,Respiratory
leg pain knee pain knee swelling problems with movement knee stiffness or tightness irregular appearing nails,Musculoskeletal
sharp abdominal pain lower abdominal pain intermenstrual bleeding pelvic pain problems during pregnancy spotting or bleeding during pregnancy cramps and spasms blood clots during menstrual periods uterine contractions,General
sharp abdominal pain nausea vomiting blood burning abdominal pain,Digestive
sharp chest pain headache facial pain back pain itching of skin,Skin
sharp chest pain cough difficulty in swallowing sharp abdominal pain nausea regurgitation burning abdominal pain regurgitation.1,Digestive
depression depressive or psychotic symptoms drug abuse pain during pregnancy excessive anger delusions or hallucinations,Mental
acne or pimples skin growth irregular appearing scalp itching of skin skin rash,Skin
nasal congestion skin swelling skin lesion mouth ulcer,Skin
anxiety and nervousness bleeding or discharge from nipple pain or soreness of breast,General
hand or finger pain arm swelling bones are painful elbow pain,Musculoskeletal
skin swelling abnormal appearing skin acne or pimples skin growth irregular appearing nails,Skin
headache symptoms of eye pain in eye foreign body sensation in eye bleeding from eye,General
difficulty in swallowing headache toothache facial pain peripheral edema jaw swelling,Musculoskeletal
abnormal appearing skin foot or toe swelling unpredictable menstruation skin rash,Skin
lower abdominal pain burning abdominal pain side pain upper abdominal pain,Digestive
sharp chest pain diarrhea burning abdominal pain heartburn stomach bloating,Digestive
"lack of growth abnormal appearing skin skin lesion acne or pimples skin dryness, peeling, scaliness, or roughness skin rash",Skin
dizziness vomiting headache nausea diminished vision weakness blindness focal weakness,General
hoarse voice headache facial pain frontal headache painful sinuses,Respiratory
skin lesion acne or pimples foot or toe pain foot or toe swelling irregular appearing nails,Skin
nasal congestion vomiting headache ear pain chills coryza,Respiratory
depression depressive or psychotic symptoms abusing alcohol hostile behavior drug abuse excessive anger,Mental
cough nasal congestion skin swelling fever,Skin
shortness of breath headache fatigue apnea,Mental
nasal congestion diminished hearing ringing in ear plugged feeling in ear allergic reaction abnormal breathing sounds,General
headache nausea diarrhea constipation,Digestive
"abnormal appearing skin skin growth foot or toe pain foot or toe swelling skin on leg or foot looks infected skin dryness, peeling, scaliness, or roughness skin on arm or hand looks infected",Skin
"skin swelling skin lesion acne or pimples skin dryness, peeling, scaliness, or roughness skin rash",Skin
headache nausea vomiting blood burning abdominal pain fever regurgitation.1,Digestive
wrist pain arm pain bones are painful loss of sensation joint pain elbow swelling,Musculoskeletal
sore throat cough diarrhea ache all over chills,Respiratory
depression depressive or psychotic symptoms hostile behavior excessive anger delusions or hallucinations temper problems,Mental
sharp chest pain leg pain leg swelling hemoptysis,Respiratory
arm pain shoulder pain lower body pain joint pain,Musculoskeletal
shortness of breath cough irritable infant vomiting wheezing difficulty breathing coryza hurts to breath,Respiratory
cough nasal congestion fever coryza painful sinuses,Respiratory
white discharge from eye symptoms of eye pain in eye spots or clouds in vision eye burns or stings mass on eyelid,General
depression abusing alcohol hostile behavior excessive anger delusions or hallucinations fears and phobias,Mental
shortness of breath chest tightness sore throat vomiting nausea upper abdominal pain,Digestive
"cough abnormal appearing skin skin lesion acne or pimples allergic reaction skin dryness, peeling, scaliness, or roughness warts skin rash",Skin
depression depressive or psychotic symptoms temper problems antisocial behavior,Mental
difficulty in swallowing vomiting mouth ulcer fever,Skin
leg pain knee swelling loss of sensation paresthesia,General
vomiting nausea burning abdominal pain lower body pain regurgitation.1 symptoms of the kidneys,Digestive
"abnormal appearing skin acne or pimples skin growth irregular appearing scalp skin dryness, peeling, scaliness, or roughness",Skin
sharp chest pain chest tightness sore throat cough nasal congestion fever congestion in chest,Respiratory
depressive or psychotic symptoms drug abuse intermenstrual bleeding pain during pregnancy problems during pregnancy delusions or hallucinations,Mental
depressive or psychotic symptoms hostile behavior antisocial behavior,Mental
hip pain back pain elbow pain paresthesia lower body pain,Musculoskeletal
headache pain in eye foreign body sensation in eye lacrimation cloudy eye,General
skin swelling lip swelling abnormal appearing skin skin growth irregular appearing scalp skin moles skin irritation,Skin
nasal congestion itching of skin itchy scalp leg lump or mass,Skin
skin swelling skin moles itching of skin warts,Skin
depression abusing alcohol hostile behavior temper problems,Mental
leg pain knee pain elbow pain ache all over stiffness all over,Musculoskeletal
shortness of breath sharp chest pain fever,Respiratory
shortness of breath cough coryza abnormal breathing sounds pulling at ears,Respiratory
sharp abdominal pain nausea back pain side pain upper abdominal pain stomach bloating regurgitation.1 symptoms of the kidneys,Digestive
abnormal appearing skin skin growth irregular appearing scalp swollen lymph nodes skin moles,Skin
dizziness vomiting nausea pain during pregnancy vomiting blood weakness problems during pregnancy,General
foot or toe pain paresthesia arm weakness,General
"arm pain arm stiffness or tightness neck pain bones are painful muscle cramps, contractures, or spasms",Musculoskeletal
sharp abdominal pain diarrhea pain of the anus cramps and spasms melena itching of the anus,Digestive
retention of urine involuntary urination frequent urination impotence symptoms of prostate excessive urination at night,General
sharp abdominal pain vaginal itching pelvic pain,Musculoskeletal
leg pain hip pain back pain neck pain knee pain loss of sensation lower body pain,Musculoskeletal
shortness of breath sharp chest pain sore throat cough nasal congestion fever coryza,Respiratory
retention of urine nausea back pain side pain,General
arm pain neck pain low back pain loss of sensation shoulder pain lower body pain joint pain,Musculoskeletal
depression depressive or psychotic symptoms insomnia hostile behavior drug abuse excessive anger delusions or hallucinations temper problems low self-esteem,Mental
shortness of breath sharp chest pain weakness,Respiratory
leg pain knee pain ankle pain knee swelling problems with movement foot or toe swelling infant feeding problem irregular appearing nails ankle swelling,Musculoskeletal
anxiety and nervousness depression depressive or psychotic symptoms insomnia drug abuse restlessness delusions or hallucinations temper problems,Mental
leg pain arm pain back pain knee pain loss of sensation paresthesia shoulder pain lower body pain,Musculoskeletal
skin swelling abnormal appearing skin skin lesion acne or pimples irregular appearing scalp skin moles skin rash,Skin
lower body pain changes in stool appearance melena rectal bleeding,Digestive
hoarse voice nasal congestion throat feels tight,Respiratory
abnormal involuntary movements hand or finger pain hand or finger swelling wrist swelling shoulder pain,Musculoskeletal
suprapubic pain sharp abdominal pain vomiting nausea blood in urine back pain low back pain,General
suprapubic pain sharp abdominal pain vaginal discharge pain during pregnancy burning abdominal pain vaginal redness problems during pregnancy,General
sore throat cough difficulty in swallowing fever skin rash,Respiratory
lip swelling facial pain peripheral edema ear pain gum pain pain in gums,General
nausea diarrhea back pain burning abdominal pain side pain,Digestive
nausea heartburn lower body pain upper abdominal pain,Digestive
neck pain shoulder pain shoulder weakness,Musculoskeletal
headache difficulty breathing nosebleed,Respiratory
blood in stool diarrhea fever temper problems pulling at ears,Skin
hand or finger pain wrist pain arm pain arm stiffness or tightness elbow pain joint pain elbow swelling,Musculoskeletal
abusing alcohol excessive anger temper problems obsessions and compulsions,Mental
"lack of growth skin lesion acne or pimples skin dryness, peeling, scaliness, or roughness skin rash",Skin
nasal congestion fever,Respiratory
shoulder stiffness or tightness,Musculoskeletal
abnormal appearing skin skin growth skin on leg or foot looks infected irregular appearing nails,Skin
headache facial pain neck pain neck stiffness or tightness nosebleed mouth pain,Musculoskeletal
sharp chest pain vomiting nausea back pain burning abdominal pain lower body pain stomach bloating regurgitation.1,Digestive
diminished hearing lump in throat throat feels tight abnormal breathing sounds,Respiratory
sharp chest pain sore throat cough nausea burning abdominal pain,Digestive
"abnormal appearing skin acne or pimples itching of skin skin dryness, peeling, scaliness, or roughness skin rash",Skin
blood in stool vomiting nausea,Digestive
dizziness difficulty speaking vomiting,General
sharp chest pain chest tightness sore throat burning abdominal pain upper abdominal pain,Digestive
shortness of breath insomnia weight gain sleepiness apnea abnormal breathing sounds sweating,Respiratory
skin swelling hand or finger swelling lip swelling peripheral edema skin rash,Skin
nasal congestion difficulty in swallowing apnea abnormal breathing sounds,Respiratory
sharp abdominal pain lower abdominal pain back pain pelvic pain symptoms of bladder,General
anxiety and nervousness depressive or psychotic symptoms drug abuse excessive anger obsessions and compulsions,Mental
sharp chest pain abnormal involuntary movements vomiting,Mental
shortness of breath dizziness palpitations throat feels tight increased heart rate,Musculoskeletal
skin swelling vaginal itching mouth ulcer skin rash lip sore,Skin
skin swelling lip swelling acne or pimples,Skin
nausea pain during pregnancy vomiting blood burning abdominal pain weakness,General
blood in stool jaundice sharp abdominal pain nausea weakness upper abdominal pain,Digestive
abnormal appearing skin foot or toe swelling problems during pregnancy unpredictable menstruation itching of skin,Skin
vomiting diarrhea burning abdominal pain decreased appetite side pain fever,Digestive
cough sharp abdominal pain nausea diarrhea heartburn chills fatigue,General
cough nasal congestion pus draining from ear plugged feeling in ear pulling at ears,General
knee weakness knee swelling problems with movement leg stiffness or tightness,Musculoskeletal
blood in stool headache burning abdominal pain decreased appetite fluid retention,Digestive
"skin swelling abnormal appearing skin skin lesion acne or pimples skin dryness, peeling, scaliness, or roughness skin irritation skin rash",Skin
leg pain arm pain neck pain low back pain loss of sensation shoulder pain joint pain,Musculoskeletal
sharp chest pain chest tightness cough nasal congestion weakness decreased heart rate,Respiratory
shortness of breath sharp chest pain sore throat nasal congestion headache coryza congestion in chest,Respiratory
cough ear pain fluid in ear fever redness in ear painful sinuses,General
lower abdominal pain vaginal discharge intermenstrual bleeding back pain spotting or bleeding during pregnancy blood clots during menstrual periods,General
lower body pain melena constipation mass or swelling around the anus itching of the anus,Digestive
wrist pain arm pain arm swelling shoulder pain shoulder stiffness or tightness,Musculoskeletal
anxiety and nervousness depression sharp abdominal pain chills,Mental
abnormal appearing skin acne or pimples skin irritation,Skin
shortness of breath insomnia difficulty breathing apnea abnormal breathing sounds,Respiratory
shortness of breath drug abuse back pain side pain shoulder pain hurts to breath,Respiratory
"skin swelling abnormal appearing skin skin lesion acne or pimples lymphedema itching of skin skin dryness, peeling, scaliness, or roughness",Skin
sharp abdominal pain vomiting back pain burning abdominal pain side pain lower body pain hemoptysis,Digestive
skin swelling feeling ill acne or pimples itching of skin skin rash,Skin
shortness of breath leg pain sweating,Respiratory
sharp chest pain sharp abdominal pain vomiting nausea side pain lower body pain,Digestive
throat swelling skin lesion peripheral edema,General
knee pain knee weakness knee swelling knee lump or mass leg weakness,Musculoskeletal
anxiety and nervousness depression shortness of breath depressive or psychotic symptoms sharp chest pain insomnia palpitations increased heart rate fears and phobias,Mental
anxiety and nervousness depression depressive or psychotic symptoms sharp chest pain insomnia headache increased heart rate fears and phobias,Mental
abnormal appearing skin skin growth irregular appearing scalp itching of skin,Skin
fainting hostile behavior excessive anger low urine output,Mental
dizziness nasal congestion throat feels tight ear pain ringing in ear,General
depressive or psychotic symptoms insomnia abnormal involuntary movements irregular heartbeat headache increased heart rate fears and phobias,Mental
cough headache diarrhea chills,Respiratory
wrist swelling hand or finger stiffness or tightness elbow pain loss of sensation,Musculoskeletal
anxiety and nervousness depression lack of growth hostile behavior drug abuse restlessness temper problems,Mental
suprapubic pain symptoms of the scrotum and testes painful urination involuntary urination blood in urine symptoms of prostate symptoms of bladder,General
skin swelling foot or toe pain foot or toe swelling irregular appearing nails,Skin
acne or pimples irregular appearing scalp symptoms of the face itching of skin,Skin
anxiety and nervousness depression hostile behavior drug abuse delusions or hallucinations low self-esteem,Mental
leg pain back pain low back pain loss of sensation shoulder pain lower body pain joint pain,Musculoskeletal
headache hand or finger pain arm pain low back pain paresthesia hand or finger weakness,Musculoskeletal
hand or finger pain hand or finger swelling wrist swelling elbow pain loss of sensation,Musculoskeletal
shortness of breath sharp chest pain back pain bones are painful side pain ache all over rib pain,Musculoskeletal
fainting restlessness excessive anger low self-esteem low urine output,Mental
skin swelling abnormal appearing skin acne or pimples skin growth skin moles itching of skin warts,Skin
shortness of breath vomiting fluid retention,General
depressive or psychotic symptoms sharp chest pain dizziness vomiting seizures antisocial behavior,Mental
depression depressive or psychotic symptoms insomnia hostile behavior drug abuse headache delusions or hallucinations obsessions and compulsions,Mental
sore throat nasal congestion facial pain ear pain fever coughing up sputum coryza,Respiratory
insomnia abnormal involuntary movements difficulty in swallowing mouth dryness apnea sweating,Respiratory
depression difficulty speaking hostile behavior irregular appearing scalp disturbance of memory,Mental
groin mass abnormal appearing skin skin lesion bones are painful back mass or lump shoulder lump or mass,Skin
skin swelling skin growth foot or toe pain irregular appearing nails too little hair skin rash,Skin
vomiting ear pain decreased appetite,Respiratory
headache ear pain difficulty breathing nosebleed,Respiratory
frequent urination abnormal appearing skin acne or pimples skin rash,Skin
difficulty speaking cough lack of growth,Mental
foot or toe pain foot or toe swelling,Skin
anxiety and nervousness temper problems low self-esteem,Mental
sharp chest pain chest tightness cough nasal congestion congestion in chest,Respiratory
headache nausea burning abdominal pain decreased appetite,Digestive
shortness of breath sharp abdominal pain diarrhea peripheral edema side pain upper abdominal pain,Digestive
abnormal involuntary movements leg pain back pain low back pain foot or toe pain paresthesia ache all over,Musculoskeletal
suprapubic pain sharp abdominal pain vaginal itching painful urination lower abdominal pain vaginal discharge vaginal redness vulvar irritation,General
skin swelling abnormal appearing skin skin lesion acne or pimples skin growth skin irritation,Skin
acne or pimples symptoms of eye foreign body sensation in eye spots or clouds in vision,General
facial pain pain in eye redness in or around nose,Musculoskeletal
acne or pimples skin growth irregular appearing scalp skin irritation skin rash,Skin
sharp chest pain retention of urine sharp abdominal pain nausea symptoms of the kidneys,General
difficulty in swallowing vomiting fever ache all over chills skin rash,Respiratory
cough feeling ill vomiting weakness decreased appetite fever chills,General
shortness of breath sharp chest pain dizziness palpitations,General
cough nasal congestion pus draining from ear ringing in ear fluid in ear pulling at ears bleeding from ear,General
dizziness abnormal involuntary movements weakness loss of sensation fatigue,General
hand or finger pain hand or finger swelling peripheral edema ache all over joint pain joint swelling,Musculoskeletal
sore throat headache facial pain ear pain frontal headache fever congestion in chest sinus congestion,Respiratory
headache nausea diarrhea decreased appetite fever chills fluid retention flu-like syndrome,Digestive
mouth dryness bleeding or discharge from nipple fever chills pain or soreness of breast lump or mass of breast,General
